Date,Framework,MSE,MSLE,MAPE
06/08/2022 13:01:47,Keras,0.0006848601042293012,6.199023482622579e-05,1.5278593301773071
06/08/2022 13:15:35,QKeras,0.0008149243658408523,7.985405682120472e-05,2.509154796600342
06/08/2022 13:19:30,QKeras,0.0007457574247382581,8.592186350142583e-05,2.8537495136260986
06/08/2022 13:20:35,QKeras,0.0007811607210896909,9.293860057368875e-05,2.9250452518463135
06/08/2022 13:23:06,QKeras,0.0008150911889970303,8.122693543555215e-05,2.6795241832733154
06/08/2022 13:26:47,QKeras,0.0006974489660933614,6.692283204756677e-05,1.869859218597412
06/08/2022 13:27:46,QKeras,0.0008363259257748723,6.609423144254833e-05,1.725353717803955
06/08/2022 13:28:59,QKeras,0.0007310525397770107,6.174334703246132e-05,1.54739248752594
06/08/2022 14:02:43,hls4ml,0.004526870622408908,,
06/08/2022 14:04:54,hls4ml,0.004526870622408908,,
