Date,Framework,MSE,MSLE,MAPE
06/08/2022 21:35:20,hls4ml,9.916884451517909e-08,,
06/08/2022 21:35:40,hls4ml,9.91654291243458e-08,,
06/08/2022 21:36:19,hls4ml,9.913326818748059e-08,,
06/08/2022 21:36:48,hls4ml,9.90411626648604e-08,,
06/08/2022 21:37:18,hls4ml,9.875844894797067e-08,,
06/08/2022 21:37:56,hls4ml,9.763922089398213e-08,,
06/08/2022 21:38:34,hls4ml,1.0160638911839204e-07,,
06/08/2022 21:39:08,hls4ml,9.763922089398213e-08,,
06/08/2022 21:39:30,hls4ml,9.763144772601731e-08,,
06/08/2022 21:39:59,hls4ml,9.898242778116406e-08,,
06/08/2022 21:40:25,hls4ml,9.756882660196034e-08,,
06/08/2022 21:41:11,hls4ml,9.756882660196034e-08,,
06/08/2022 21:41:37,hls4ml,9.809833601044962e-08,,
06/08/2022 21:42:00,hls4ml,9.769245243872119e-08,,
06/08/2022 21:42:21,hls4ml,9.758381230998153e-08,,
06/08/2022 21:42:50,hls4ml,9.757228727909286e-08,,
06/08/2022 21:43:28,hls4ml,9.756968946614273e-08,,
06/08/2022 21:43:53,hls4ml,9.756839836810529e-08,,
06/08/2022 21:44:20,hls4ml,9.756839836810529e-08,,
06/08/2022 21:44:42,hls4ml,9.757228727909286e-08,,
06/08/2022 21:45:04,hls4ml,9.757350025559023e-08,,
06/08/2022 21:45:28,hls4ml,9.756955341726181e-08,,
06/08/2022 21:45:51,hls4ml,9.75687296880862e-08,,
06/08/2022 21:46:12,hls4ml,9.75687296880862e-08,,
06/08/2022 21:46:34,hls4ml,9.756955341726181e-08,,
06/08/2022 21:47:00,hls4ml,9.756947609460883e-08,,
06/08/2022 21:47:21,hls4ml,9.757186471369309e-08,,
06/08/2022 21:47:42,hls4ml,9.756947609460883e-08,,
06/08/2022 21:48:08,hls4ml,9.757186471369309e-08,,
06/08/2022 21:48:29,hls4ml,9.756947609460883e-08,,
06/08/2022 21:48:57,hls4ml,9.756947609460883e-08,,
06/08/2022 21:49:18,hls4ml,9.913264296263241e-08,,
06/08/2022 21:59:04,Keras,7.587415495891037e-08,5.8897271060232015e-08,380.28021240234375
06/08/2022 21:59:05,QKeras,9.885718554869527e-08,6.855699297148021e-08,855.3740844726562
06/08/2022 21:59:12,hls4ml,3.11096978181969e-05,,
06/08/2022 22:01:18,hls4ml,0.0005080158454764018,,
06/08/2022 22:05:37,hls4ml,3.525869186860614e-06,,
06/08/2022 22:24:37,hls4ml,0.0005080181198262169,,
06/08/2022 22:28:19,hls4ml,9.756947609460883e-08,,
06/08/2022 22:33:18,Keras,7.587415495891037e-08,5.8897271060232015e-08,380.28021240234375
06/08/2022 22:34:12,QKeras,9.885718554869527e-08,6.855699297148021e-08,855.3740844726562
06/08/2022 22:34:38,hls4ml,9.756947609460883e-08,,
06/08/2022 22:44:14,QKeras,8.620475711040854e-08,6.343967839939069e-08,340.44921875
06/08/2022 22:44:40,QKeras,8.620475711040854e-08,6.343967839939069e-08,340.44921875
06/08/2022 22:45:15,hls4ml,8.553485332616137e-08,,
06/08/2022 22:46:14,Keras,7.587415495891037e-08,5.8897271060232015e-08,380.28021240234375
06/08/2022 22:47:45,QKeras,3.6712044675368816e-05,2.072305142064579e-05,173.0216522216797
07/08/2022 08:28:23,QKeras,3.664323958219029e-05,2.022702756221406e-05,246.44056701660156
07/08/2022 08:57:40,QKeras,7.875782159771916e-08,6.369868543742996e-08,79.75839233398438
07/08/2022 08:57:51,hls4ml,8.043046236618574e-08,,
07/08/2022 09:05:01,Keras,7.587415495891037e-08,5.8897271060232015e-08,380.28021240234375
07/08/2022 09:05:02,QKeras,7.875782159771916e-08,6.369868543742996e-08,79.75839233398438
07/08/2022 09:05:11,hls4ml,8.043046236618574e-08,,
07/08/2022 09:15:50,Keras,7.587415495891037e-08,5.8897271060232015e-08,380.28021240234375
07/08/2022 09:15:51,QKeras,7.875782159771916e-08,6.369868543742996e-08,79.75839233398438
07/08/2022 09:15:59,hls4ml,8.043046236618574e-08,,
07/08/2022 13:57:03,Keras,7.587415495891037e-08,5.8897271060232015e-08,380.28021240234375
07/08/2022 13:57:04,QKeras,7.875782159771916e-08,6.369868543742996e-08,79.75839233398438
07/08/2022 13:57:12,hls4ml,8.043046236618574e-08,,
07/08/2022 14:12:42,Keras,7.587415495891037e-08,5.8897271060232015e-08,380.28021240234375
07/08/2022 14:12:43,QKeras,7.875782159771916e-08,6.369868543742996e-08,79.75839233398438
07/08/2022 14:12:50,hls4ml,8.043046236618574e-08,,
07/08/2022 18:01:43,Keras,7.587415495891037e-08,5.8897271060232015e-08,380.28021240234375
07/08/2022 18:01:45,QKeras,7.875782159771916e-08,6.369868543742996e-08,79.75839233398438
07/08/2022 18:01:53,hls4ml,8.043046236618574e-08,,
07/08/2022 18:47:53,Keras,7.587415495891037e-08,5.8897271060232015e-08,380.28021240234375
07/08/2022 18:47:54,QKeras,7.875782159771916e-08,6.369868543742996e-08,79.75839233398438
07/08/2022 18:48:01,hls4ml,8.043046236618574e-08,,
