Date,EstimatedClockPeriod,BestLatency,WorstLatency,IntervalMin,IntervalMax,BRAM_18K,AvailableBRAM_18K,DSP48E,AvailableDSP48E,FF,AvailableFF,LUT,AvailableLUT,URAM,AvailableURAM
25/10/2022 22:29:04,4.356,24,24,1,1,0,432,1145,360,29911,141120,69474,70560,0,0
25/10/2022 22:35:15,4.356,24,24,1,1,0,432,1145,360,29911,141120,69474,70560,0,0
