Date,EstimatedClockPeriod,BestLatency,WorstLatency,IntervalMin,IntervalMax,BRAM_18K,AvailableBRAM_18K,DSP48E,AvailableDSP48E,FF,AvailableFF,LUT,AvailableLUT,URAM,AvailableURAM
25/10/2022 20:13:38,4.310,9,9,1,1,0,432,154,360,4839,141120,9373,70560,0,0
25/10/2022 20:16:06,4.310,9,9,1,1,0,432,154,360,4839,141120,9373,70560,0,0
25/10/2022 20:27:05,4.310,9,9,1,1,0,432,154,360,4839,141120,9373,70560,0,0
25/10/2022 22:11:50,4.310,9,9,1,1,0,432,154,360,4839,141120,9373,70560,0,0
25/10/2022 22:22:26,4.310,9,9,1,1,0,432,154,360,4839,141120,9373,70560,0,0
