Date,EstimatedClockPeriod,BestLatency,WorstLatency,IntervalMin,IntervalMax,BRAM_18K,AvailableBRAM_18K,DSP48E,AvailableDSP48E,FF,AvailableFF,LUT,AvailableLUT,URAM,AvailableURAM
06/08/2022 20:43:26,4.113,18,18,1,1,0,432,756,360,14982,141120,34443,70560,0,0
06/08/2022 20:49:58,4.337,45,45,1,1,16,432,5572,360,440302,141120,256951,70560,0,0
